ID,parent_ID,lineNumber,description,quantity,amount,currency
198,25,21,Contract Negotiation,1,2800,EUR
199,25,22,Legal Review,1,2000,EUR
200,25,23,Compliance Check,1,1800,EUR
201,25,24,Technology Assessment,1,3500,EUR
202,25,25,Digital Transformation,1,4000,EUR
203,25,26,Process Automation,1,3800,EUR
204,25,27,Data Analytics,1,3200,EUR
205,25,28,Reporting Systems,1,2500,EUR
206,25,29,Knowledge Transfer,1,2000,EUR
207,25,30,Final Presentation,1,1500,EUR
